year,period,periodName,latest,value,footnotes,series_id,date
2024,M11,November,true,159288.0,"[{'code': 'P', 'text': 'preliminary'}]",CES0000000001,2024-11-01
2024,M10,October,,159061.0,"[{'code': 'P', 'text': 'preliminary'}]",CES0000000001,2024-10-01
2024,M09,September,,159025.0,[{}],CES0000000001,2024-09-01
2024,M08,August,,158770.0,[{}],CES0000000001,2024-08-01
2024,M07,July,,158692.0,[{}],CES0000000001,2024-07-01
2024,M06,June,,158548.0,[{}],CES0000000001,2024-06-01
2024,M05,May,,158430.0,[{}],CES0000000001,2024-05-01
2024,M04,April,,158214.0,[{}],CES0000000001,2024-04-01
2024,M03,March,,158106.0,[{}],CES0000000001,2024-03-01
2024,M02,February,,157796.0,[{}],CES0000000001,2024-02-01
2024,M01,January,,157560.0,[{}],CES0000000001,2024-01-01
2023,M12,December,,157304.0,[{}],CES0000000001,2023-12-01
2023,M11,November,,157014.0,[{}],CES0000000001,2023-11-01
2023,M10,October,,156832.0,[{}],CES0000000001,2023-10-01
2023,M09,September,,156667.0,[{}],CES0000000001,2023-09-01
2023,M08,August,,156421.0,[{}],CES0000000001,2023-08-01
2023,M07,July,,156211.0,[{}],CES0000000001,2023-07-01
2023,M06,June,,156027.0,[{}],CES0000000001,2023-06-01
2023,M05,May,,155787.0,[{}],CES0000000001,2023-05-01
2023,M04,April,,155484.0,[{}],CES0000000001,2023-04-01
2023,M03,March,,155206.0,[{}],CES0000000001,2023-03-01
2023,M02,February,,155060.0,[{}],CES0000000001,2023-02-01
2023,M01,January,,154773.0,[{}],CES0000000001,2023-01-01
2022,M12,December,,154291.0,[{}],CES0000000001,2022-12-01
2022,M11,November,,154155.0,[{}],CES0000000001,2022-11-01
2022,M10,October,,153897.0,[{}],CES0000000001,2022-10-01
2022,M09,September,,153536.0,[{}],CES0000000001,2022-09-01
2022,M08,August,,153281.0,[{}],CES0000000001,2022-08-01
2022,M07,July,,153038.0,[{}],CES0000000001,2022-07-01
2022,M06,June,,152348.0,[{}],CES0000000001,2022-06-01
2022,M05,May,,151928.0,[{}],CES0000000001,2022-05-01
2022,M04,April,,151642.0,[{}],CES0000000001,2022-04-01
2022,M03,March,,151370.0,[{}],CES0000000001,2022-03-01
2022,M02,February,,150876.0,[{}],CES0000000001,2022-02-01
2022,M01,January,,150014.0,[{}],CES0000000001,2022-01-01
2024,M11,November,true,4.2,[{}],LNS14000000,2024-11-01
2024,M10,October,,4.1,[{}],LNS14000000,2024-10-01
2024,M09,September,,4.1,[{}],LNS14000000,2024-09-01
2024,M08,August,,4.2,[{}],LNS14000000,2024-08-01
2024,M07,July,,4.3,[{}],LNS14000000,2024-07-01
2024,M06,June,,4.1,[{}],LNS14000000,2024-06-01
2024,M05,May,,4.0,[{}],LNS14000000,2024-05-01
2024,M04,April,,3.9,[{}],LNS14000000,2024-04-01
2024,M03,March,,3.8,[{}],LNS14000000,2024-03-01
2024,M02,February,,3.9,[{}],LNS14000000,2024-02-01
2024,M01,January,,3.7,[{}],LNS14000000,2024-01-01
2023,M12,December,,3.7,[{}],LNS14000000,2023-12-01
2023,M11,November,,3.7,[{}],LNS14000000,2023-11-01
2023,M10,October,,3.8,[{}],LNS14000000,2023-10-01
2023,M09,September,,3.8,[{}],LNS14000000,2023-09-01
2023,M08,August,,3.8,[{}],LNS14000000,2023-08-01
2023,M07,July,,3.5,[{}],LNS14000000,2023-07-01
2023,M06,June,,3.6,[{}],LNS14000000,2023-06-01
2023,M05,May,,3.7,[{}],LNS14000000,2023-05-01
2023,M04,April,,3.4,[{}],LNS14000000,2023-04-01
2023,M03,March,,3.5,[{}],LNS14000000,2023-03-01
2023,M02,February,,3.6,[{}],LNS14000000,2023-02-01
2023,M01,January,,3.4,[{}],LNS14000000,2023-01-01
2022,M12,December,,3.5,[{}],LNS14000000,2022-12-01
2022,M11,November,,3.6,[{}],LNS14000000,2022-11-01
2022,M10,October,,3.6,[{}],LNS14000000,2022-10-01
2022,M09,September,,3.5,[{}],LNS14000000,2022-09-01
2022,M08,August,,3.6,[{}],LNS14000000,2022-08-01
2022,M07,July,,3.5,[{}],LNS14000000,2022-07-01
2022,M06,June,,3.6,[{}],LNS14000000,2022-06-01
2022,M05,May,,3.6,[{}],LNS14000000,2022-05-01
2022,M04,April,,3.7,[{}],LNS14000000,2022-04-01
2022,M03,March,,3.6,[{}],LNS14000000,2022-03-01
2022,M02,February,,3.8,[{}],LNS14000000,2022-02-01
2022,M01,January,,4.0,[{}],LNS14000000,2022-01-01
2024,M11,November,true,161141.0,[{}],LNS12000000,2024-11-01
2024,M10,October,,161496.0,[{}],LNS12000000,2024-10-01
2024,M09,September,,161864.0,[{}],LNS12000000,2024-09-01
2024,M08,August,,161434.0,[{}],LNS12000000,2024-08-01
2024,M07,July,,161266.0,[{}],LNS12000000,2024-07-01
2024,M06,June,,161199.0,[{}],LNS12000000,2024-06-01
2024,M05,May,,161083.0,[{}],LNS12000000,2024-05-01
2024,M04,April,,161491.0,[{}],LNS12000000,2024-04-01
2024,M03,March,,161466.0,[{}],LNS12000000,2024-03-01
2024,M02,February,,160968.0,[{}],LNS12000000,2024-02-01
2024,M01,January,,161152.0,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS12000000,2024-01-01
2023,M12,December,,161183.0,[{}],LNS12000000,2023-12-01
2023,M11,November,,161866.0,[{}],LNS12000000,2023-11-01
2023,M10,October,,161280.0,[{}],LNS12000000,2023-10-01
2023,M09,September,,161550.0,[{}],LNS12000000,2023-09-01
2023,M08,August,,161500.0,[{}],LNS12000000,2023-08-01
2023,M07,July,,161209.0,[{}],LNS12000000,2023-07-01
2023,M06,June,,161004.0,[{}],LNS12000000,2023-06-01
2023,M05,May,,160707.0,[{}],LNS12000000,2023-05-01
2023,M04,April,,160962.0,[{}],LNS12000000,2023-04-01
2023,M03,March,,160824.0,[{}],LNS12000000,2023-03-01
2023,M02,February,,160301.0,[{}],LNS12000000,2023-02-01
2023,M01,January,,160152.0,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS12000000,2023-01-01
2022,M12,December,,159300.0,[{}],LNS12000000,2022-12-01
2022,M11,November,,158485.0,[{}],LNS12000000,2022-11-01
2022,M10,October,,158729.0,[{}],LNS12000000,2022-10-01
2022,M09,September,,158894.0,[{}],LNS12000000,2022-09-01
2022,M08,August,,158758.0,[{}],LNS12000000,2022-08-01
2022,M07,July,,158282.0,[{}],LNS12000000,2022-07-01
2022,M06,June,,158116.0,[{}],LNS12000000,2022-06-01
2022,M05,May,,158314.0,[{}],LNS12000000,2022-05-01
2022,M04,April,,157888.0,[{}],LNS12000000,2022-04-01
2022,M03,March,,158219.0,[{}],LNS12000000,2022-03-01
2022,M02,February,,157528.0,[{}],LNS12000000,2022-02-01
2022,M01,January,,157066.0,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",LNS12000000,2022-01-01
2024,M11,November,true,35.61,"[{'code': 'P', 'text': 'preliminary'}]",CES0500000003,2024-11-01
2024,M10,October,,35.48,"[{'code': 'P', 'text': 'preliminary'}]",CES0500000003,2024-10-01
2024,M09,September,,35.33,[{}],CES0500000003,2024-09-01
